EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,ION_PRESSURE_nPa,DEL_TIME_ms
2014-02-18T16:54:50.972Z,1.18984,14677.500
2014-02-18T16:56:37.195Z,1.21057,6980.5005
2014-02-18T16:58:14.171Z,1.33625,14677.350
2014-02-18T16:59:49.617Z,1.46263,14677.469
2014-02-18T17:01:28.136Z,1.54005,14677.500
2014-02-18T17:03:06.660Z,1.59826,14677.500
2014-02-18T17:04:42.101Z,1.57768,14677.500
2014-02-18T17:06:20.625Z,1.63399,14677.350
2014-02-18T17:07:59.144Z,1.19464,14677.500
2014-02-18T17:09:37.664Z,1.07181,14677.500
2014-02-18T17:11:16.187Z,1.23817,14677.350
2014-02-18T17:12:59.328Z,1.08443,6980.5005
2014-02-18T17:14:36.308Z,1.09531,14677.471
2014-02-18T17:16:11.750Z,1.16508,14677.500
2014-02-18T17:17:50.273Z,1.05288,14677.500
2014-02-18T17:19:28.792Z,0.990302,14677.350
2014-02-18T17:21:07.312Z,0.919826,14677.500
2014-02-18T17:22:45.835Z,1.01240,14677.500
2014-02-18T17:24:24.355Z,1.02526,14677.350
2014-02-18T17:26:02.878Z,1.07367,14677.469
2014-02-18T17:27:41.398Z,1.02467,14677.500
2014-02-18T17:29:24.539Z,1.05114,6980.4341
2014-02-18T17:31:01.519Z,1.12535,14677.501
2014-02-18T17:32:36.960Z,1.02297,14677.350
2014-02-18T17:34:15.484Z,1.23205,14677.500
2014-02-18T17:35:54.003Z,1.14709,14677.350
2014-02-18T17:37:29.445Z,1.12986,14677.500
2014-02-18T17:39:07.968Z,1.12981,14677.500
2014-02-18T17:40:46.628Z,1.09185,14536.813
2014-02-18T17:42:25.011Z,1.02702,14677.350
2014-02-18T17:44:03.531Z,1.04908,14677.500
2014-02-18T17:45:46.667Z,1.01650,6980.4341
2014-02-18T17:47:20.570Z,0.936650,14677.501
2014-02-18T17:48:56.156Z,0.991921,14536.850
2014-02-18T17:50:34.535Z,0.984743,14677.500
2014-02-18T17:52:13.058Z,1.12187,14677.313
2014-02-18T17:53:51.578Z,1.07052,14677.500
2014-02-18T17:55:30.101Z,1.05623,14677.350
2014-02-18T17:57:08.621Z,1.12210,14677.500
2014-02-18T17:58:47.140Z,1.17570,14677.350
2014-02-18T18:00:25.664Z,1.09727,14677.500
2014-02-18T18:02:08.800Z,1.11505,6980.4341
2014-02-18T18:03:45.785Z,1.20931,14677.501
2014-02-18T18:05:21.226Z,0.789355,14677.469
2014-02-18T18:06:59.746Z,0.800658,14677.500
2014-02-18T18:08:38.269Z,0.813193,14677.350
2014-02-18T18:10:20.726Z,1.07388,12315.066
