EPOCH__yyyy-mm-ddThh:mm:ss.sssZ,B__nT_(1min),BX_(GSM)_(@_x-component_)_nT_(1min),BY_(GSM)_(@_y-component_)_nT_(1min),BZ_(GSM)_(@_z-component_)_nT_(1min)
2014-02-18T15:08:30.000Z,6.04391,1.45862,-5.16106,-2.78353
2014-02-18T15:09:30.000Z,6.19955,1.62175,-5.20165,-2.95231
2014-02-18T15:10:30.000Z,6.07030,1.50615,-4.91506,-3.22201
2014-02-18T15:11:30.000Z,6.05905,1.34964,-4.81131,-3.41694
2014-02-18T15:12:30.000Z,6.13397,1.30587,-5.24421,-2.87159
2014-02-18T15:13:30.000Z,6.12399,1.23867,-5.42789,-2.54494
2014-02-18T15:14:30.000Z,6.26304,1.07961,-5.72682,-2.29256
2014-02-18T15:15:30.000Z,6.29560,1.18796,-5.71960,-2.33703
2014-02-18T15:16:30.000Z,6.44440,1.21834,-5.86033,-2.38598
2014-02-18T15:17:30.000Z,6.47141,1.14659,-6.04395,-2.00511
2014-02-18T15:18:30.000Z,6.47231,1.10395,-6.05488,-2.00101
2014-02-18T15:19:30.000Z,6.47704,1.14388,-6.03953,-2.03920
2014-02-18T15:20:30.000Z,6.47634,1.12621,-6.06299,-1.97590
2014-02-18T15:21:30.000Z,6.48565,1.11584,-6.08743,-1.93785
2014-02-18T15:22:30.000Z,6.49908,1.12402,-6.09672,-1.94634
2014-02-18T15:23:30.000Z,6.48740,1.17587,-6.08189,-1.92455
2014-02-18T15:24:30.000Z,6.48749,1.21148,-6.10206,-1.83678
2014-02-18T15:25:30.000Z,6.48231,1.25831,-6.05067,-1.95455
2014-02-18T15:26:30.000Z,6.44398,1.23401,-5.89666,-2.28094
2014-02-18T15:27:30.000Z,6.35536,1.19805,-5.69861,-2.54330
2014-02-18T15:28:30.000Z,6.33590,1.13588,-5.60540,-2.72408
2014-02-18T15:29:30.000Z,6.36532,1.06432,-5.58493,-2.86153
2014-02-18T15:30:30.000Z,6.39623,1.12121,-5.65461,-2.77124
2014-02-18T15:31:30.000Z,6.43667,1.34902,-5.66925,-2.72999
2014-02-18T15:32:30.000Z,6.38827,1.38261,-5.62172,-2.68868
2014-02-18T15:33:30.000Z,6.37065,1.45872,-5.51779,-2.82036
2014-02-18T15:34:30.000Z,6.28167,1.37122,-5.62248,-2.44082
2014-02-18T15:35:30.000Z,6.32738,1.44369,-5.59832,-2.56923
2014-02-18T15:36:30.000Z,6.37104,1.41894,-5.57823,-2.73050
2014-02-18T15:37:30.000Z,6.44205,1.56928,-5.47405,-3.00132
2014-02-18T15:38:30.000Z,6.48696,1.70902,-5.44924,-3.07298
2014-02-18T15:39:30.000Z,6.50350,1.53770,-5.62273,-2.87216
2014-02-18T15:40:30.000Z,6.54909,1.28154,-5.87950,-2.57452
2014-02-18T15:41:30.000Z,6.57024,1.19443,-5.99574,-2.40555
2014-02-18T15:42:30.000Z,6.58209,1.17055,-5.97095,-2.50212
2014-02-18T15:43:30.000Z,6.64903,0.871538,-6.11125,-2.45127
2014-02-18T15:44:30.000Z,6.67161,0.647824,-6.19611,-2.37975
2014-02-18T15:45:30.000Z,6.69547,0.716847,-6.26023,-2.25536
2014-02-18T15:46:30.000Z,6.70975,0.779156,-6.24831,-2.31341
2014-02-18T15:47:30.000Z,6.70119,0.912755,-6.15136,-2.49028
2014-02-18T15:48:30.000Z,6.71247,1.18690,-5.98184,-2.78880
2014-02-18T15:49:30.000Z,6.71690,1.48849,-5.87971,-2.88061
2014-02-18T15:50:30.000Z,6.72452,1.57235,-5.79085,-3.01290
2014-02-18T15:51:30.000Z,6.73875,2.13122,-5.64347,-2.98618
2014-02-18T15:52:30.000Z,6.75073,1.77065,-5.72995,-3.09549
2014-02-18T15:53:30.000Z,6.78017,1.74775,-5.74878,-3.14125
2014-02-18T15:54:30.000Z,6.77866,1.76243,-5.66273,-3.28056
2014-02-18T15:55:30.000Z,6.79312,1.61771,-5.77467,-3.17823
2014-02-18T15:56:30.000Z,6.79781,1.55703,-5.84278,-3.10304
2014-02-18T15:57:30.000Z,6.78661,1.63745,-5.91127,-2.90195
2014-02-18T15:58:30.000Z,6.78524,1.62871,-5.91886,-2.88958
2014-02-18T15:59:30.000Z,6.76284,1.59521,-5.85976,-2.97502
2014-02-18T16:00:30.000Z,6.78715,1.61860,-5.84763,-3.04120
2014-02-18T16:01:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T16:02:30.000Z,6.79440,1.68221,-5.81505,-3.08354
2014-02-18T16:03:30.000Z,6.81336,1.64431,-5.79221,-3.18816
2014-02-18T16:04:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T16:05:30.000Z,6.91241,1.80584,-5.36703,-3.83643
2014-02-18T16:06:30.000Z,7.40547,1.33176,-7.04054,-0.127661
2014-02-18T16:07:30.000Z,7.48670,1.13776,-7.38701,0.423041
2014-02-18T16:08:30.000Z,7.41914,1.28704,-7.27268,0.638156
2014-02-18T16:09:30.000Z,7.40681,1.20496,-7.24276,0.947491
2014-02-18T16:10:30.000Z,7.39647,1.43489,-7.13856,1.28304
2014-02-18T16:11:30.000Z,7.40430,1.59201,-6.96376,1.93788
2014-02-18T16:12:30.000Z,7.59897,1.65956,-7.19065,1.62964
2014-02-18T16:13:30.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2014-02-18T16:14:30.000Z,7.66822,1.57322,-7.36628,1.43349
2014-02-18T16:15:30.000Z,7.57283,1.59282,-7.28589,1.30627
2014-02-18T16:16:30.000Z,7.63679,1.43271,-7.43033,1.02202
2014-02-18T16:17:30.000Z,7.69281,1.46332,-7.49515,0.904477
2014-02-18T16:18:30.000Z,7.70932,1.39118,-7.55327,0.660541
2014-02-18T16:19:30.000Z,7.70593,1.52402,-7.51021,0.782821
2014-02-18T16:20:30.000Z,7.71239,1.57372,-7.47126,1.08038
2014-02-18T16:21:30.000Z,7.71507,1.43201,-7.53739,0.760949
2014-02-18T16:22:30.000Z,7.71487,1.29537,-7.59550,0.377667
2014-02-18T16:23:30.000Z,7.71097,1.34058,-7.59144,-0.0300823
2014-02-18T16:24:30.000Z,7.64720,1.00094,-7.57294,0.303223
2014-02-18T16:25:30.000Z,7.63975,0.766827,-7.56909,0.689498
2014-02-18T16:26:30.000Z,7.63526,0.732605,-7.56217,0.728265
2014-02-18T16:27:30.000Z,7.62725,0.887663,-7.54370,0.596852
2014-02-18T16:28:30.000Z,7.65455,0.860130,-7.56946,0.709086
2014-02-18T16:29:30.000Z,7.66105,1.26631,-7.54781,0.122616
2014-02-18T16:30:30.000Z,7.63918,1.17378,-7.52608,0.345402
2014-02-18T16:31:30.000Z,7.63545,1.31957,-7.51896,0.0277857
2014-02-18T16:32:30.000Z,7.63774,1.57039,-7.46854,0.213861
2014-02-18T16:33:30.000Z,7.59594,1.31627,-7.47453,0.269046
2014-02-18T16:34:30.000Z,7.57638,1.28518,-7.45541,0.370685
