UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-B__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-B_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-B_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-B_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-B_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-B_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-B_(@_3_)_eV_(All_Qs)
2009-07-04T15:22:10.149Z,4.3281209,-341.78559,-5.5740509,-12.147115,41.448615,10.070934,19.202405
2009-07-04T15:22:13.117Z,4.1696076,-343.74983,-3.8557969,-12.476641,40.517127,10.081322,17.984247
2009-07-04T15:22:16.085Z,4.1699245,-342.90333,-4.4642585,-11.849594,39.655689,9.8234460,18.827786
2009-07-04T15:22:19.053Z,4.1172859,-344.25788,-5.2587939,-11.976239,38.274096,9.6829338,17.732234
2009-07-04T15:22:22.021Z,4.0381595,-343.98730,-5.0911007,-11.420485,40.763437,10.376992,17.531584
2009-07-04T15:22:24.989Z,4.0914297,-343.51288,-6.5666668,-12.193376,38.417986,9.5140295,17.613603
2009-07-04T15:22:27.956Z,4.1711918,-344.45049,-6.5478154,-13.427429,35.850209,10.678292,19.608735
2009-07-04T15:22:30.924Z,4.0920518,-344.57680,-4.8189818,-12.432626,32.632288,10.385451,18.643165
2009-07-04T15:22:33.892Z,4.0923626,-341.07218,-6.0619395,-12.178436,40.540748,9.6631336,21.492817
2009-07-04T15:22:36.860Z,4.0661836,-342.93080,-5.3797918,-12.984013,38.423009,10.310377,19.744227
2009-07-04T15:22:39.828Z,4.2254433,-343.15911,-4.0570040,-11.288456,37.486130,9.4991993,20.043644
2009-07-04T15:22:42.796Z,4.1197889,-342.80763,-4.6793399,-11.301607,34.269412,9.6879074,18.198415
2009-07-04T15:22:45.764Z,4.0141184,-342.61621,-3.8665946,-13.870541,34.964508,9.4184950,17.791244
2009-07-04T15:22:48.732Z,4.1204145,-343.67199,-5.3996135,-12.877062,34.971471,10.045074,19.751938
2009-07-04T15:22:51.699Z,4.2267267,-344.60568,-5.3249153,-13.684310,31.669201,10.206061,19.119556
2009-07-04T15:22:54.667Z,4.2270481,-341.65006,-4.3956606,-13.521977,40.625148,10.586431,20.669771
2009-07-04T15:22:57.635Z,4.3598883,-342.75840,-5.7379241,-11.531223,45.176335,10.103368,20.333607
2009-07-04T15:23:00.603Z,4.1481721,-344.47852,-6.2054637,-11.121305,38.683936,9.8588835,19.530296
2009-07-04T15:23:03.571Z,4.2810265,-340.43189,-7.4102281,-12.390185,44.675850,9.9338383,23.394209
2009-07-04T15:23:06.539Z,4.0427621,-345.72289,-4.9211584,-10.802671,35.248580,10.490408,20.375263
2009-07-04T15:23:09.507Z,4.1756285,-345.34692,-6.6085766,-10.706153,35.912293,10.453569,20.572259
2009-07-04T15:23:12.475Z,4.2289733,-345.47708,-7.5156435,-12.290320,38.607917,10.620799,22.082392
2009-07-04T15:23:15.442Z,4.2558106,-345.19783,-8.3974753,-11.743548,35.583533,9.9875965,22.644834
2009-07-04T15:23:18.410Z,4.1500616,-345.14202,-6.6033349,-11.606000,33.858377,9.8618700,22.803174
2009-07-04T15:23:21.378Z,4.2034164,-344.15350,-5.8553976,-12.762846,33.987853,10.593482,23.049239
2009-07-04T15:23:24.346Z,4.1772132,-344.70158,-7.0033431,-12.588864,34.505869,10.473831,23.724702
2009-07-04T15:23:27.314Z,4.1244821,-346.33106,-7.4729998,-12.757122,32.339154,10.399582,20.673469
2009-07-04T15:23:30.282Z,4.2043729,-346.43535,-7.3449717,-13.544393,32.580027,9.9516003,21.390459
2009-07-04T15:23:33.250Z,4.2842758,-344.35062,-8.0691427,-12.386383,41.064591,11.184687,22.258818
2009-07-04T15:23:36.218Z,4.2846007,-344.27354,-6.8874127,-14.139894,35.406183,10.713482,22.715416
2009-07-04T15:23:39.185Z,4.2318620,-344.28366,-6.9343526,-13.079258,37.216602,10.197315,21.300372
2009-07-04T15:23:42.153Z,4.2587169,-344.88445,-7.1612096,-12.925092,35.137991,10.013013,20.786256
2009-07-04T15:23:45.121Z,4.3121119,-342.91706,-7.0734345,-12.417074,40.377337,10.639719,21.929128
2009-07-04T15:23:48.089Z,4.2859008,-343.18237,-7.2384218,-12.735772,37.800374,9.5003314,21.303593
2009-07-04T15:23:51.057Z,4.3658459,-343.52746,-7.7494478,-12.244610,39.519575,10.091468,19.618514
2009-07-04T15:23:54.025Z,4.4192611,-344.35032,-8.1238129,-13.243226,39.080738,9.9587990,19.147756
2009-07-04T15:23:56.993Z,4.3399637,-342.31380,-8.0031539,-13.631036,44.175614,9.8083087,19.224940
